brewery_type,city,state,country,is_micro
micro,Davis,West Virginia,United States,1
brewpub,Guerneville,California,United States,0
micro,Hudson,New York,United States,1
micro,Raleigh,North Carolina,United States,1
micro,Varberg,Halland,Sweden,1
micro,Brunswick,VIC,Australia,1
closed,Plymouth,New Hampshire,United States,0
brewpub,Evanston,Wyoming,United States,0
brewpub,Fruita,Colorado,United States,0
micro,Dripping Springs,Texas,United States,1
micro,Davis,California,United States,1
proprietor,San Francisco,California,United States,0
micro,Charlotte,North Carolina,United States,1
brewpub,Saint Paul,Virginia,United States,0
micro,El Segundo,California,United States,1
brewpub,Cedar,Michigan,United States,0
regional,Kilkenny,Kilkenny,Ireland,0
closed,Woodinville,Washington,United States,0
micro,Groton,New York,United States,1
regional,Saint Paul,Minnesota,United States,0
brewpub,Fort Wayne,Indiana,United States,0
brewpub,Canutillo,Texas,United States,0
micro,Fishers,Indiana,United States,1
planning,Fishers,Indiana,United States,0
regional,Indianapolis,Indiana,United States,0
brewpub,Phoenix,Arizona,United States,0
planning,Phoenix,Arizona,United States,0
brewpub,Hailey,Idaho,United States,0
planning,Clermont,Florida,United States,0
brewpub,Bethel,Maine,United States,0
micro,Kirrawee,NSW,Australia,1
micro,Westlake Village,California,United States,1
micro,Hardy,Virginia,United States,1
micro,Kalispell,Montana,United States,1
micro,Sunriver,Oregon,United States,1
brewpub,San Francisco,California,United States,0
micro,Kuluin,QLD,Australia,1
micro,Lake Mills,Wisconsin,United States,1
micro,Kunda Park,QLD,Australia,1
micro,Londonderry,New Hampshire,United States,1
planning,Portland,Oregon,United States,0
planning,Bangor,Pennsylvania,United States,0
micro,Davis,California,United States,1
brewpub,Hot Springs National Park,Arkansas,United States,0
brewpub,Sault Sainte Marie,Michigan,United States,0
closed,Ventura,California,United States,0
planning,El Segundo,California,United States,0
regional,Brooklyn Ctr,Minnesota,United States,0
regional,Minneapolis,Minnesota,United States,0
micro,Baltimore,Maryland,United States,1
micro,Pittston,Pennsylvania,United States,1
brewpub,Yuba City,California,United States,0
micro,Millerton,New York,United States,1
micro,Pretoria,Gauteng,South Africa,1
micro,Columbia,South Carolina,United States,1
micro,Gainesville,Florida,United States,1
micro,Travelers Rest,South Carolina,United States,1
large,Middle Swan,WA,Australia,0
micro,Lakeland,Florida,United States,1
micro,Manheim,Pennsylvania,United States,1
planning,Miami,Florida,United States,0
planning,Brooklyn,New York,United States,0
micro,Indian Trail,North Carolina,United States,1
brewpub,Asheville,North Carolina,United States,0
regional,Atlanta,Georgia,United States,0
micro,McLaren Vale,SA,Australia,1
brewpub,Rochester,New York,United States,0
micro,Fairfield,Ohio,United States,1
brewpub,River Falls,Wisconsin,United States,0
micro,Marysville,Washington,United States,1
regional,Burlington,Vermont,United States,0
micro,Elkhart Lake,Wisconsin,United States,1
micro,Bloomington,Indiana,United States,1
micro,Edinburg,Virginia,United States,1
brewpub,Charlotte,North Carolina,United States,0
micro,Surry Hills,NSW,Australia,1
micro,Lakewood,California,United States,1
brewpub,Syracuse,New York,United States,0
micro,North Hobart,TAS,Australia,1
micro,Cohoes,New York,United States,1
micro,East London,Eastern Cape,South Africa,1
micro,Medford,Oregon,United States,1
planning,Richmond,Virginia,United States,0
planning,Jacksonville,Florida,United States,0
planning,Oakland,California,United States,0
micro,Tacoma,Washington,United States,1
proprietor,Fresno,California,United States,0
micro,Urrbrae,SA,Australia,1
micro,Cincinnati,Ohio,United States,1
brewpub,Cincinnati,Ohio,United States,0
brewpub,Tahoe City,California,United States,0
closed,Truckee,California,United States,0
brewpub,Paradise,Michigan,United States,0
brewpub,Nashville,Tennessee,United States,0
brewpub,Nashville,Tennessee,United States,0
micro,Coldwater,Ohio,United States,1
micro,Luverne,Minnesota,United States,1
planning,Nashua,New Hampshire,United States,0
micro,Ogden,Utah,United States,1
micro,Montevideo,Minnesota,United States,1
planning,Midland,Texas,United States,0
brewpub,Parsonsburg,Maryland,United States,0
micro,Manjimup,WA,Australia,1
micro,Preston,VIC,Australia,1
micro,Preston,VIC,Australia,1
regional,Manhattan,Kansas,United States,0
brewpub,Manhattan,Kansas,United States,0
micro,Jasper,Alabama,United States,1
micro,Lakeside,Montana,United States,1
micro,Tampa,Florida,United States,1
brewpub,Tampa,Florida,United States,0
micro,Tampa,Florida,United States,1
brewpub,Ontario,Oregon,United States,0
micro,Cle Elum,Washington,United States,1
brewpub,Ottawa,Illinois,United States,0
micro,Seattle,Washington,United States,1
closed,Napa,California,United States,0
brewpub,Oakland,California,United States,0
planning,Ambler,Pennsylvania,United States,0
planning,Cleveland,Georgia,United States,0
brewpub,Northfield,Minnesota,United States,0
brewpub,Taos,New Mexico,United States,0
brewpub,El Prado,New Mexico,United States,0
brewpub,Ojo Caliente,New Mexico,United States,0
brewpub,Cincinnati,Ohio,United States,0
brewpub,Auburn,California,United States,0
closed,San Luis Obispo,California,United States,0
micro,Somerset,Kentucky,United States,1
brewpub,Singapore,Singapore,Singapore,0
micro,Bridgman,Michigan,United States,1
brewpub,Santa Clara,California,United States,0
micro,Middletown,Rhode Island,United States,1
brewpub,Mililani,Hawaii,United States,0
planning,Tustin,California,United States,0
brewpub,Brea,California,United States,0
brewpub,Corona,California,United States,0
micro,Mornington,VIC,Australia,1
planning,Thousand Oaks,California,United States,0
micro,Tarboro,North Carolina,United States,1
brewpub,Napa,California,United States,0
micro,Fort Lauderdale,Florida,United States,1
micro,Cambridge,TAS,Australia,1
brewpub,Middletown,Pennsylvania,United States,0
brewpub,Detroit Lakes,Minnesota,United States,0
micro,Bargersville,Indiana,United States,1
micro,Woodstock,Connecticut,United States,1
micro,Catasauqua,Pennsylvania,United States,1
micro,Armada,Michigan,United States,1
planning,Denver,Colorado,United States,0
brewpub,Lafayette,Indiana,United States,0
brewpub,Tecumseh,Michigan,United States,0
planning,Carpinteria,California,United States,0
micro,Wilmington,North Carolina,United States,1
micro,Santa Barbara,California,United States,1
micro,Telluride,Colorado,United States,1
brewpub,Bakersfield,California,United States,0
micro,Oakland,California,United States,1
micro,Evanston,Illinois,United States,1
brewpub,Westerville,Ohio,United States,0
brewpub,Mount Vernon,Washington,United States,0
micro,Brunswick East,VIC,Australia,1
micro,Salt Lake City,Utah,United States,1
brewpub,Orlando,Florida,United States,0
micro,Hyde Park,Vermont,United States,1
micro,Tucson,Arizona,United States,1
micro,Signal Hill,California,United States,1
micro,Helena,Montana,United States,1
micro,Glenview,Illinois,United States,1
micro,Moses Lake,Washington,United States,1
brewpub,Moses Lake,Washington,United States,0
micro,Ten Sleep,Wyoming,United States,1
planning,San Diego,California,United States,0
micro,Flint,Michigan,United States,1
micro,Las Vegas,Nevada,United States,1
planning,Queenstown,Maryland,United States,0
micro,Nashville,Tennessee,United States,1
micro,Clarksville,Tennessee,United States,1
micro,Atascadero,California,United States,1
micro,Tequesta,Florida,United States,1
micro,North Arm,QLD,Australia,1
brewpub,Chattanooga,Tennessee,United States,0
micro,Enterprise,Oregon,United States,1
micro,Bow,Washington,United States,1
large,Athens,Georgia,United States,0
brewpub,Terre Haute,Indiana,United States,0
micro,Cleveland,Ohio,United States,1
brewpub,Springfield,Michigan,United States,0
micro,Springfield,Michigan,United States,1
micro,Dallas,Texas,United States,1
micro,Taylor,Texas,United States,1
micro,Taylor,Texas,United States,1
micro,Dickinson,Texas,United States,1
brewpub,Kalamazoo,Michigan,United States,0
micro,Missouri City,Texas,United States,1
micro,Cottonwood,Arizona,United States,1
brewpub,Pine,Arizona,United States,0
micro,Durban,KwaZulu-Natal,South Africa,1
micro,Lewes,East Sussex,England,1
micro,Albuquerque,New Mexico,United States,1
micro,Tucson,Arizona,United States,1
micro,Moonah,TAS,Australia,1
micro,Bend,Oregon,United States,1
micro,Hackensack,New Jersey,United States,1
brewpub,Fernandina Beach,Florida,United States,0
micro,St Joseph,Missouri,United States,1
brewpub,Richmond,Virginia,United States,0
brewpub,Austin,Texas,United States,0
brewpub,Silverthorne,Colorado,United States,0
brewpub,Mercer,Pennsylvania,United States,0
taproom,Lewes,East Sussex,England,0
micro,Winter Park,Florida,United States,1
micro,Petersburg,New York,United States,1
micro,Stonington,Connecticut,United States,1
brewpub,San Diego,California,United States,0
contract,Chicago,Illinois,United States,0
planning,Chicago,Illinois,United States,0
closed,Seattle,Washington,United States,0
micro,Nashville,Tennessee,United States,1
brewpub,Rio Rancho,New Mexico,United States,0
planning,Hinckley,Ohio,United States,0
brewpub,Weslaco,Texas,United States,0
planning,Yorba Linda,California,United States,0
brewpub,Tawas City,Michigan,United States,0
micro,Fort Scott,Kansas,United States,1
micro,Norfolk,Virginia,United States,1
micro,North Bondi,NSW,Australia,1
micro,Eureka,California,United States,1
micro,Cleveland Heights,Ohio,United States,1
brewpub,Columbus,Ohio,United States,0
brewpub,Reno,Nevada,United States,0
brewpub,Strongsville,Ohio,United States,0
micro,Mentor,Ohio,United States,1
micro,Englewood,Colorado,United States,1
brewpub,Baltimore,Maryland,United States,0
micro,Reno,Nevada,United States,1
micro,Austin,Texas,United States,1
micro,Bay Shore,New York,United States,1
micro,Roxbury,New Hampshire,United States,1
brewpub,Nieu-Bethesda,Eastern Cape,South Africa,0
brewpub,New Paltz,New York,United States,0
micro,Middletown,Pennsylvania,United States,1
micro,Easton,Pennsylvania,United States,1
brewpub,Lubbock,Texas,United States,0
micro,Hammondsport,New York,United States,1
brewpub,Santa Barbara,California,United States,0
micro,Blairsden,California,United States,1
micro,Eau Claire,Wisconsin,United States,1
brewpub,Austin,Texas,United States,0
brewpub,Akron,Ohio,United States,0
micro,Bronx,New York,United States,1
micro,Bozeman,Montana,United States,1
micro,Cleveland,Ohio,United States,1
micro,Forster,NSW,Australia,1
micro,Forster,NSW,Australia,1
micro,Fort Worth,Texas,United States,1
planning,Mason,Ohio,United States,0
micro,New Orleans,Louisiana,United States,1
micro,Clifton Hill,VIC,Australia,1
micro,Ashburn,Virginia,United States,1
contract,Milwaukee,Wisconsin,United States,0
brewpub,Putnam,Connecticut,United States,0
micro,Campton,New Hampshire,United States,1
brewpub,Lodi,California,United States,0
brewpub,Reno,Nevada,United States,0
micro,Vicksburg,Michigan,United States,1
micro,Shoreham-by-Sea,West Sussex,England,1
micro,Waxhaw,North Carolina,United States,1
micro,Uckfield,East Sussex,England,1
brewpub,Greendale,Wisconsin,United States,0
micro,Broad Run,Virginia,United States,1
micro,Owego,New York,United States,1
contract,La Jolla,California,United States,0
micro,Federalsburg,Maryland,United States,1
planning,Pollock Pines,California,United States,0
brewpub,Cedarburg,Wisconsin,United States,0
micro,Traverse City,Michigan,United States,1
micro,Hastings,East Sussex,England,1
regional,Auburndale,Florida,United States,0
planning,Brooklyn,New York,United States,0
brewpub,Carson City,Nevada,United States,0
regional,Cork,Cork,Ireland,0
micro,Fayetteville,West Virginia,United States,1
brewpub,Minneapolis,Minnesota,United States,0
micro,Fitzroy,VIC,Australia,1
micro,Durham,North Carolina,United States,1
micro,Santa Ana,California,United States,1
micro,Auburn,New York,United States,1
brewpub,Seattle,Washington,United States,0
brewpub,Spokane,Washington,United States,0
brewpub,Denver,Colorado,United States,0
brewpub,Chichester,West Sussex,England,0
micro,Marrickville,NSW,Australia,1
micro,Muncie,Indiana,United States,1
brewpub,Pawtucket,Rhode Island,United States,0
brewpub,Warren,Rhode Island,United States,0
brewpub,New Smyrna Beach,Florida,United States,0
brewpub,Harmony,Pennsylvania,United States,0
brewpub,Vancouver,Washington,United States,0
micro,Spokane,Washington,United States,1
brewpub,West Branch,Michigan,United States,0
micro,Charleston,South Carolina,United States,1
brewpub,Christopher,Illinois,United States,0
micro,Gresham,Oregon,United States,1
planning,Round Rock,Texas,United States,0
micro,Denver,Colorado,United States,1
planning,Pittsburg,Kansas,United States,0
brewpub,Cleveland,Ohio,United States,0
micro,East Grinstead,West Sussex,England,1
brewpub,Grand Rapids,Michigan,United States,0
brewpub,Sturgis,South Dakota,United States,0
brewpub,Walkerton,Indiana,United States,0
micro,Lincolnton,North Carolina,United States,1
micro,Tiffin,Ohio,United States,1
micro,Petworth,West Sussex,England,1
contract,Denver,Colorado,United States,0
planning,Valdese,North Carolina,United States,0
brewpub,Benton Harbor,Michigan,United States,0
brewpub,Sugar Grove,Ohio,United States,0
brewpub,Waunakee,Wisconsin,United States,0
brewpub,Wolfeboro,New Hampshire,United States,0
micro,Polegate,East Sussex,England,1
micro,Rochester,New York,United States,1
planning,Atlanta,Georgia,United States,0
brewpub,Davie,Florida,United States,0
brewpub,Dallas,Texas,United States,0
micro,Addison,Texas,United States,1
brewpub,Hemlock,Michigan,United States,0
micro,Menifee,California,United States,1
micro,Collingwood,VIC,Australia,1
brewpub,Harrisburg,Pennsylvania,United States,0
brewpub,Grand Rapids,Michigan,United States,0
brewpub,Saugatuck,Michigan,United States,0
micro,Grand Rapids,Michigan,United States,1
closed,Exeter,New Hampshire,United States,0
contract,Clarence,New York,United States,0
brewpub,Dallas,Pennsylvania,United States,0
brewpub,Norwich,Vermont,United States,0
brewpub,Alton,Illinois,United States,0
regional,Charlotte,North Carolina,United States,0
micro,Fort Monroe,Virginia,United States,1
brewpub,Boyertown,Pennsylvania,United States,0
brewpub,Jamestown,North Carolina,United States,0
micro,Winchester,New Hampshire,United States,1
large,New York,New York,United States,0
brewpub,Traverse City,Michigan,United States,0
brewpub,Winter Park,Colorado,United States,0
brewpub,Huntington,West Virginia,United States,0
brewpub,Greenfield,Massachusetts,United States,0
brewpub,Chandler,Arizona,United States,0
micro,Phoenix,Arizona,United States,1
micro,Mansfield,Ohio,United States,1
brewpub,Houston,Texas,United States,0
micro,Lubbock,Texas,United States,1
micro,Dublin,Dublin,Ireland,1
closed,Portsmouth,New Hampshire,United States,0
brewpub,Boulder,Colorado,United States,0
brewpub,Lafayette,Colorado,United States,0
planning,Union,Maine,United States,0
micro,Auburn,New Hampshire,United States,1
brewpub,Quakertown,Pennsylvania,United States,0
brewpub,Washington,District of Columbia,United States,0
micro,Marrakai,NT,Australia,1
brewpub,Montgomery,Alabama,United States,0
micro,Berkeley,California,United States,1
brewpub,Winter Park,Florida,United States,0
brewpub,Burton,Michigan,United States,0
brewpub,Jeffersonville,Indiana,United States,0
micro,Redding,Connecticut,United States,1
micro,Pennington,New Jersey,United States,1
brewpub,San Marcos,Texas,United States,0
brewpub,Napa,California,United States,0
bar,Singapore,Singapore,Singapore,0
large,Denver,Colorado,United States,0
brewpub,Ionia,Michigan,United States,0
micro,Maylands,WA,Australia,1
micro,Shreveport,Louisiana,United States,1
micro,Tempe,Arizona,United States,1
brewpub,San Angelo,Texas,United States,0
planning,Greer,South Carolina,United States,0
planning,Buford,Georgia,United States,0
micro,Hampton,Virginia,United States,1
brewpub,Los Angeles,California,United States,0
micro,Clarksville,Tennessee,United States,1
micro,Puyallup,Washington,United States,1
micro,Glynde,SA,Australia,1
micro,Charlotte,North Carolina,United States,1
micro,Miami,Florida,United States,1
brewpub,Bloomington,Indiana,United States,0
brewpub,Haverhill,Massachusetts,United States,0
micro,South Albury,NSW,Australia,1
taproom,Rye,East Sussex,England,0
micro,Haywards Heath,West Sussex,England,1
brewpub,Bristol,New Hampshire,United States,0
micro,Uraidla,SA,Australia,1
brewpub,Hampton,Virginia,United States,0
micro,Victor,New York,United States,1
brewpub,Harrisburg,Pennsylvania,United States,0
micro,Richmond,Virginia,United States,1
micro,Eugene,Oregon,United States,1
brewpub,Stone Mountain,Georgia,United States,0
brewpub,Worthing,West Sussex,England,0
micro,Brunswick,Ohio,United States,1
micro,Williamsburg,Virginia,United States,1
micro,Hove,East Sussex,England,1
micro,New Norfolk,TAS,Australia,1
micro,Armidale,NSW,Australia,1
micro,Armidale,NSW,Australia,1
micro,Ballymote,Sligo,Ireland,1
micro,Redcross,Wicklow,Ireland,1
micro,Tampa,Florida,United States,1
micro,Cincinnati,Ohio,United States,1
micro,Atlanta,Georgia,United States,1
brewpub,Atlanta,Georgia,United States,0
planning,San Luis Obispo,California,United States,0
brewpub,Norwich,Connecticut,United States,0
micro,Cedar Rapids,Iowa,United States,1
closed,Branford,Connecticut,United States,0
brewpub,Buffalo,New York,United States,0
planning,Greenville,South Carolina,United States,0
micro,Dublin,Dublin,Ireland,1
brewpub,Cedar Rapids,Iowa,United States,0
planning,Cincinnati,Ohio,United States,0
micro,South Lyon,Michigan,United States,1
planning,Rockford,Michigan,United States,0
micro,Wichita,Kansas,United States,1
contract,New York,New York,United States,0
micro,Milwaukee,Wisconsin,United States,1
micro,Burlington,New Jersey,United States,1
brewpub,Santa Rosa,California,United States,0
regional,Cold Spring,Minnesota,United States,0
brewpub,Saint Peters,Missouri,United States,0
brewpub,Santa Barbara,California,United States,0
micro,Royse City,Texas,United States,1
micro,Akron,Ohio,United States,1
brewpub,Biglerville,Pennsylvania,United States,0
micro,Broadmeadow,NSW,Australia,1
brewpub,Asheville,North Carolina,United States,0
micro,Denver,Colorado,United States,1
micro,Charlotte,North Carolina,United States,1
brewpub,Superior,Wisconsin,United States,0
micro,Austin,Texas,United States,1
micro,Mount Airy,North Carolina,United States,1
brewpub,Billings,Montana,United States,0
brewpub,San Francisco,California,United States,0
micro,Greenville,South Carolina,United States,1
micro,Bloomfield,Connecticut,United States,1
brewpub,Riverside,California,United States,0
micro,San Diego,California,United States,1
micro,San Diego,California,United States,1
micro,Grand rapids,Michigan,United States,1
micro,Abbotsford,VIC,Australia,1
micro,Herron,WA,Australia,1
micro,Cedar Park,Texas,United States,1
micro,Chula Vista,California,United States,1
brewpub,Indianapolis,Indiana,United States,0
micro,Hammonton,New Jersey,United States,1
micro,Uckfield,East Sussex,England,1
brewpub,del Norte,Colorado,United States,0
brewpub,South Haven,Michigan,United States,0
brewpub,Venice,Florida,United States,0
micro,Snohomish,Washington,United States,1
brewpub,Sisters,Oregon,United States,0
micro,Sisters,Oregon,United States,1
planning,Pearland,Texas,United States,0
regional,Munster,Indiana,United States,0
brewpub,Nevada City,California,United States,0
brewpub,Fort Collins,Colorado,United States,0
micro,Rochester,New York,United States,1
brewpub,Canandaigua,New York,United States,0
micro,Grahamvale,VIC,Australia,1
brewpub,Olympia,Washington,United States,0
micro,Davis,California,United States,1
contract,Madera,California,United States,0
micro,Hillsboro,Oregon,United States,1
micro,Charlottesville,Virginia,United States,1
micro,Richmond,Virginia,United States,1
micro,Charlottesville,Virginia,United States,1
micro,Harrisonburg,Virginia,United States,1
brewpub,Martinsville,Indiana,United States,0
micro,Cincinnati,Ohio,United States,1
micro,McPherson,Kansas,United States,1
micro,Three Rivers,California,United States,1
brewpub,Farmington,New Mexico,United States,0
micro,Charlotte,North Carolina,United States,1
brewpub,Morro Bay,California,United States,0
micro,Sandton,Gauteng,South Africa,1
micro,Mudgee,NSW,Australia,1
micro,Decatur,Georgia,United States,1
brewpub,Granville,Ohio,United States,0
micro,Pine City,Minnesota,United States,1
micro,Inglewood,California,United States,1
contract,Meridian,Mississippi,United States,0
micro,Brooklyn,New York,United States,1
micro,Searsmont,Maine,United States,1
brewpub,North Hampton,New Hampshire,United States,0
micro,Luxemburg,Wisconsin,United States,1
brewpub,Tucson,Arizona,United States,0
micro,Cascade Locks,Oregon,United States,1
micro,Brunswick,VIC,Australia,1
micro,San Diego,California,United States,1
brewpub,Kearney,Nebraska,United States,0
brewpub,Kalamazoo,Michigan,United States,0
micro,North Charleston,South Carolina,United States,1
micro,Springfield,Missouri,United States,1
brewpub,Mountain View,California,United States,0
brewpub,Ballyferriter,Kerry,Ireland,0
brewpub,Morehead City,North Carolina,United States,0
micro,Mundelein,Illinois,United States,1
brewpub,Greeley,Colorado,United States,0
micro,Miles City,Montana,United States,1
brewpub,Lapeer,Michigan,United States,0
micro,Exeter,Rhode Island,United States,1
contract,Loveland,Colorado,United States,0
micro,Elk Grove,California,United States,1
micro,Marietta,New York,United States,1
brewpub,Meadville,Pennsylvania,United States,0
micro,Sultan,Washington,United States,1
planning,East Brookfield,Massachusetts,United States,0
micro,Clarion,Iowa,United States,1
closed,Lakewood,California,United States,0
planning,Timnath,Colorado,United States,0
micro,Springfield,Illinois,United States,1
micro,Westfield,Massachusetts,United States,1
micro,Gainesville,Virginia,United States,1
micro,Seattle,Washington,United States,1
brewpub,Bryn Mawr,Pennsylvania,United States,0
micro,Evansville,Indiana,United States,1
micro,Kokomo,Indiana,United States,1
brewpub,Hermann,Missouri,United States,0
micro,Baton Rouge,Louisiana,United States,1
micro,Saint Paul,Minnesota,United States,1
micro,Port Adelaide,SA,Australia,1
micro,South Townsville,QLD,Australia,1
brewpub,Fayetteville,Arkansas,United States,0
micro,Fresno,California,United States,1
brewpub,Ardmore,Pennsylvania,United States,0
brewpub,Ardmore,Pennsylvania,United States,0
brewpub,Miami,Florida,United States,0
brewpub,Green Bay,Wisconsin,United States,0
micro,Denver,Colorado,United States,1
micro,Lewisville,Texas,United States,1
micro,Pretoria,Gauteng,South Africa,1
planning,Manchester,New Hampshire,United States,0
micro,Clifton Hill,VIC,Australia,1
contract,New York,New York,United States,0
closed,salt lake city,Utah,United States,0
brewpub,Raleigh,North Carolina,United States,0
planning,Oxford,North Carolina,United States,0
contract,Chicago,Illinois,United States,0
brewpub,Albuquerque,New Mexico,United States,0
planning,Denver,Colorado,United States,0
micro,Tombstone,Arizona,United States,1
micro,Hammonton,New Jersey,United States,1
micro,Idaho Springs,Colorado,United States,1
brewpub,Port Orange,Florida,United States,0
micro,Oaklyn,New Jersey,United States,1
taproom,Ranchester,Wyoming,United States,0
brewpub,Tonopah,Nevada,United States,0
micro,Tooborac,VIC,Australia,1
large,Malvern,VIC,Australia,0
micro,Vista,California,United States,1
brewpub,Grass Lake,Michigan,United States,0
micro,Newport,Washington,United States,1
brewpub,Chapel Hill,North Carolina,United States,0
micro,Lacey,Washington,United States,1
micro,Ventura,California,United States,1
micro,Decorah,Iowa,United States,1
planning,Hampshire,Illinois,United States,0
brewpub,San Francisco,California,United States,0
micro,Killarney,Kerry,Ireland,1
brewpub,Atlanta,Georgia,United States,0
planning,Minneapolis,Minnesota,United States,0
micro,Kansas City,Missouri,United States,1
micro,Paso Robles,California,United States,1
micro,Ames,Iowa,United States,1
planning,Inglewood,California,United States,0
brewpub,Amanzimtoti,KwaZulu-Natal,South Africa,0
planning,Sacramento,California,United States,0
micro,Sacramento,California,United States,1
brewpub,Chalfont,Pennsylvania,United States,0
micro,Lexington,Kentucky,United States,1
micro,Houston,Texas,United States,1
closed,Silverado,California,United States,0
brewpub,Ann Arbor,Michigan,United States,0
micro,Dickinson Center,New York,United States,1
micro,Townsville City,QLD,Australia,1
micro,New London,Connecticut,United States,1
brewpub,Dayton,Ohio,United States,0
brewpub,San Francisco,California,United States,0
planning,Nashville,Tennessee,United States,0
micro,Sacramento,California,United States,1
micro,Sacramento,California,United States,1
micro,Albuquerque,New Mexico,United States,1
micro,Humboldt,Iowa,United States,1
micro,Napa,California,United States,1
contract,Monrovia,California,United States,0
micro,INDIANAPOLIS,Indiana,United States,1
micro,Charleston,South Carolina,United States,1
micro,Newport News,Virginia,United States,1
brewpub,Detroit,Michigan,United States,0
brewpub,Flagstaff,Arizona,United States,0
planning,Novato,California,United States,0
micro,Allendale,Michigan,United States,1
closed,Saint Charles,Missouri,United States,0
micro,Bridgman,Michigan,United States,1
planning,Oxnard,California,United States,0
micro,Long Island City,New York,United States,1
micro,Grandview,Missouri,United States,1
micro,Palmdale,California,United States,1
planning,Shawnee,Kansas,United States,0
micro,Vancouver,Washington,United States,1
planning,Saint Croix Falls,Wisconsin,United States,0
brewpub,Berkeley Heights,New Jersey,United States,0
brewpub,Petersburg,Virginia,United States,0
planning,Charlotte,North Carolina,United States,0
micro,Limerick,Limerick,Ireland,1
contract,College Station,Texas,United States,0
regional,Charlton,Massachusetts,United States,0
micro,Newark,Ohio,United States,1
micro,Bay City,Michigan,United States,1
micro,Goulburn,NSW,Australia,1
brewpub,Mokena,Illinois,United States,0
micro,Kittery,Maine,United States,1
micro,Eagle River,Wisconsin,United States,1
proprietor,Tumwater,Washington,United States,0
micro,Coeur D Alene,Idaho,United States,1
brewpub,Somerset West,Western Cape,South Africa,0
regional,Canton,Massachusetts,United States,0
micro,Birmingham,Alabama,United States,1
brewpub,Providence,Rhode Island,United States,0
brewpub,Colorado Springs,Colorado,United States,0
brewpub,Zeeland,Michigan,United States,0
micro,Holland,Michigan,United States,1
micro,Troupsburg,New York,United States,1
micro,Fairport,New York,United States,1
brewpub,Las Vegas,Nevada,United States,0
micro,Charlotte,North Carolina,United States,1
micro,Richmond,Virginia,United States,1
brewpub,Richmond,Virginia,United States,0
brewpub,Midlothian,Virginia,United States,0
micro,Havre,Montana,United States,1
brewpub,Lubbock,Texas,United States,0
micro,Seattle,Washington,United States,1
brewpub,Berkeley,California,United States,0
micro,San Francisco,California,United States,1
micro,Woodinville,Washington,United States,1
micro,Savoy,Illinois,United States,1
micro,Hendersonville,North Carolina,United States,1
micro,Indianapolis,Indiana,United States,1
brewpub,New Hope,Pennsylvania,United States,0
brewpub,Princeton,New Jersey,United States,0
planning,Leavenworth,Washington,United States,0
regional,Hershey,Pennsylvania,United States,0
planning,Quakertown,Pennsylvania,United States,0
micro,Greenville,North Carolina,United States,1
micro,Hopewell,New Jersey,United States,1
micro,Raleigh,North Carolina,United States,1
micro,Kill,Kildare,Ireland,1
contract,Safety Harbor,Florida,United States,0
micro,Springfield,Vermont,United States,1
micro,Fort Wayne,Indiana,United States,1
micro,Houston,Texas,United States,1
micro,Ipswich,Massachusetts,United States,1
micro,Derwood,Maryland,United States,1
micro,Suisun City,California,United States,1
micro,Tyler,Texas,United States,1
brewpub,Acton,Massachusetts,United States,0
regional,Berkeley,California,United States,0
brewpub,Vancouver,Washington,United States,0
micro,Truth or Consequences,New Mexico,United States,1
micro,Denver,Colorado,United States,1
micro,Denver,Colorado,United States,1
micro,Storms River,Eastern Cape,South Africa,1
micro,Spokane,Washington,United States,1
micro,Egg Harbor Township,New Jersey,United States,1
planning,Manassas,Virginia,United States,0
micro,Tucker,Georgia,United States,1
micro,Conway,New Hampshire,United States,1
brewpub,Delton,Michigan,United States,0
brewpub,Franschhoek,Western Cape,South Africa,0
micro,Farmington,Maine,United States,1
micro,Santa Fe,New Mexico,United States,1
brewpub,Yuma,Colorado,United States,0
micro,Highwood,Illinois,United States,1
micro,Rancho Cucamonga,California,United States,1
micro,Brooklyn,New York,United States,1
planning,Clovis,California,United States,0
planning,Kingston,New York,United States,0
micro,Broken Bow,Nebraska,United States,1
micro,Letterkenny,Donegal,Ireland,1
micro,Rochester,Minnesota,United States,1
micro,Oak Park,Illinois,United States,1
micro,Milldale,Connecticut,United States,1
closed,Kirkwood,Missouri,United States,0
planning,Westfield,Massachusetts,United States,0
taproom,Horsham,West Sussex,England,0
brewpub,Wyoming,Michigan,United States,0
brewpub,Klamath Falls,Oregon,United States,0
planning,Houston,Texas,United States,0
micro,Grand Rapids,Minnesota,United States,1
brewpub,Skagway,Alaska,United States,0
nano,Engelhartszell,Oberösterreich,Austria,0
regional,Auburn,California,United States,0
micro,San Diego,California,United States,1
brewpub,Columbus,Ohio,United States,0
planning,Galesburg,Illinois,United States,0
brewpub,Webster,New York,United States,0
planning,Oakmont,Pennsylvania,United States,0
brewpub,Ripon,Wisconsin,United States,0
micro,Port Melbourne,VIC,Australia,1
micro,Redmond,Oregon,United States,1
micro,Kodiak,Alaska,United States,1
micro,Grove City,Pennsylvania,United States,1
micro,Lahaina,Hawaii,United States,1
micro,Rocky Mount,North Carolina,United States,1
brewpub,Westminster,Colorado,United States,0
regional,Kailua Kona,Hawaii,United States,0
brewpub,Bonners Ferry,Idaho,United States,0
micro,Takatsuki,Osaka,Japan,1
brewpub,Rosholt,Wisconsin,United States,0
brewpub,Lexington,South Carolina,United States,0
micro,Gresham,Oregon,United States,1
micro,Webster,Massachusetts,United States,1
